"habitat","organism","count"
"water","Flagellates",106
"water","Cyanobacteria",18
"water","Diatoms",45
"water","Algae",178
"water","Desmids",124
"water","Amoeba",23
"water","Heliozoans",9
"water","Ciliates",27
"water","Rotifers",12
"water","Microturbellarians",29
"water","Nematodes",21
"water","Insect Larvae",3
"water","Oligochaete worms",0
"water","Tardigrades",0
"water","Insects",0
"water","Copepods",0
"water","Ostracod",1
"water","Cladocera",7
"water","unidentified",11
"sphagnum","Flagellates",228
"sphagnum","Cyanobacteria",28
"sphagnum","Diatoms",95
"sphagnum","Algae",272
"sphagnum","Desmids",70
"sphagnum","Amoeba",29
"sphagnum","Heliozoans",6
"sphagnum","Ciliates",150
"sphagnum","Rotifers",20
"sphagnum","Microturbellarians",118
"sphagnum","Nematodes",48
"sphagnum","Insect Larvae",7
"sphagnum","Oligochaete worms",35
"sphagnum","Tardigrades",0
"sphagnum","Insects",3
"sphagnum","Copepods",3
"sphagnum","Ostracod",1
"sphagnum","Cladocera",41
"sphagnum","unidentified",27
"sediment","Flagellates",596
"sediment","Cyanobacteria",71
"sediment","Diatoms",103
"sediment","Algae",259
"sediment","Desmids",324
"sediment","Amoeba",24
"sediment","Heliozoans",3
"sediment","Ciliates",45
"sediment","Rotifers",7
"sediment","Microturbellarians",44
"sediment","Nematodes",63
"sediment","Insect Larvae",3
"sediment","Oligochaete worms",7
"sediment","Tardigrades",1
"sediment","Insects",1
"sediment","Copepods",1
"sediment","Ostracod",0
"sediment","Cladocera",7
"sediment","unidentified",13
